Train Load,From (in KM),To (in KM),Rate
145A,1,100,216
145A,101,125,389.6
145A,126,150,448.9
145A,151,175,488.7
145A,176,200,532.2
145A,201,275,672.5
145A,276,350,797.2
145A,351,425,926
145A,426,500,1054.7
145A,501,600,1228
145A,601,700,1398.7
145A,701,730,1435.6
145A,731,760,1484
145A,761,790,1537.9
145A,791,820,1586.7
145A,821,850,1640.3
145A,851,880,1688.6
145A,881,910,1737
145A,911,940,1790.2
145A,941,970,1838.6
145A,971,1000,1891.8
145A,1001,1020,1919.9
145A,1021,1040,1955.2
145A,1041,1060,1990.5
145A,1061,1080,2025.7
145A,1081,1100,2061
145A,1101,1120,2090
145A,1121,1140,2125.1
145A,1141,1160,2160.3
145A,1161,1180,2195.6
145A,1181,1200,2230.7
145A,1201,1220,2259.4
145A,1221,1240,2294.4
145A,1241,1260,2329.4
145A,1261,1280,2364.6
145A,1281,1300,2399.6
145A,1301,1320,2427.7
145A,1321,1340,2462.6
145A,1341,1360,2497.6
145A,1361,1380,2532.6
145A,1381,1400,2567.6
145A,1401,1420,2596.1
145A,1421,1440,2630.9
145A,1441,1460,2665.8
145A,1461,1480,2680.9
145A,1481,1500,2695
145A,1501,1510,2706.7
145A,1511,1520,2719
145A,1521,1530,2726.1
145A,1531,1540,2733.4
145A,1541,1550,2740.6
145A,1551,1560,2747.8
145A,1561,1570,2755.1
145A,1571,1580,2762.3
145A,1581,1590,2769.5
145A,1591,1600,2776.7
145A,1601,1610,2783.9
145A,1611,1620,2791.2
145A,1621,1630,2798.4
145A,1631,1640,2805.6
145A,1641,1650,2812.8
145A,1651,1660,2820.1
145A,1661,1670,2827.3
145A,1671,1680,2834.5
145A,1681,1690,2841.7
145A,1691,1700,2848.9
145A,1701,1710,2856.2
145A,1711,1720,2863.4
145A,1721,1730,2870.6
145A,1731,1740,2877.9
145A,1741,1750,2885
145A,1751,1760,2892.3
145A,1761,1770,2899.5
145A,1771,1780,2906.8
145A,1781,1790,2914
145A,1791,1800,2921.1
145A,1801,1810,2928.4
145A,1811,1820,2935.6
145A,1821,1830,2942.9
145A,1831,1840,2950.1
145A,1841,1850,2957.2
145A,1851,1860,2964.5
145A,1861,1870,2971.7
145A,1871,1880,2979
145A,1881,1890,2986.2
145A,1891,1900,2993.3
145A,1901,1910,3000.6
145A,1911,1920,3007.8
145A,1921,1930,3015.1
145A,1931,1940,3022.3
145A,1941,1950,3029.6
145A,1951,1960,3036.7
145A,1961,1970,3043.9
145A,1971,1980,3051.2
145A,1981,1990,3058.4
145A,1991,2000,3065.7
145A,2001,2010,3072.8
145A,2011,2020,3080
145A,2021,2030,3087.3
145A,2031,2040,3094.5
145A,2041,2050,3101.8
145A,2051,2060,3108.9
145A,2061,2070,3116.1
145A,2071,2080,3123.4
145A,2081,2090,3130.6
145A,2091,2100,3137.9
145A,2101,2110,3145.1
145A,2111,2120,3152.3
145A,2121,2130,3159.5
145A,2131,2140,3166.7
145A,2141,2150,3174
145A,2151,2160,3181.2
145A,2161,2170,3188.4
145A,2171,2180,3195.6
145A,2181,2190,3202.8
145A,2191,2200,3210.1
145A,2201,2210,3217.3
145A,2211,2220,3224.5
145A,2221,2230,3231.7
145A,2231,2240,3238.9
145A,2241,2250,3246.2
145A,2251,2260,3253.4
145A,2261,2270,3260.7
145A,2271,2280,3267.8
145A,2281,2290,3275.1
145A,2291,2300,3282.3
145A,2301,2310,3289.5
145A,2311,2320,3296.8
145A,2321,2330,3303.9
145A,2331,2340,3311.2
145A,2341,2350,3318.4
145A,2351,2360,3325.6
145A,2361,2370,3332.9
145A,2371,2380,3340
145A,2381,2390,3347.3
145A,2391,2400,3354.5
145A,2401,2410,3361.7
145A,2411,2420,3369
145A,2421,2430,3376.1
145A,2431,2440,3383.4
145A,2441,2450,3390.6
145A,2451,2460,3397.9
145A,2461,2470,3405.1
145A,2471,2480,3412.2
145A,2481,2490,3419.5
145A,2491,2500,3426.7
145A,2501,2510,3434
145A,2511,2520,3441.2
145A,2521,2530,3448.4
145A,2531,2540,3455.6
145A,2541,2550,3462.8
145A,2551,2560,3470.1
145A,2561,2570,3477.3
145A,2571,2580,3484.6
145A,2581,2590,3491.7
145A,2591,2600,3498.9
145A,2601,2610,3506.2
145A,2611,2620,3513.4
145A,2621,2630,3520.7
145A,2631,2640,3527.9
145A,2641,2650,3535
145A,2651,2660,3542.3
145A,2661,2670,3549.5
145A,2671,2680,3556.8
145A,2681,2690,3564
145A,2691,2700,3571.1
145A,2701,2710,3578.4
145A,2711,2720,3585.6
145A,2721,2730,3592.9
145A,2731,2740,3600.1
145A,2741,2750,3607.3
145A,2751,2760,3614.5
145A,2761,2770,3621.7
145A,2771,2780,3629
145A,2781,2790,3636.2
145A,2791,2800,3643.5
145A,2801,2810,3650.6
145A,2811,2820,3657.8
145A,2821,2830,3665.1
145A,2831,2840,3672.3
145A,2841,2850,3679.6
145A,2851,2860,3686.7
145A,2861,2870,3693.9
145A,2871,2880,3701.2
145A,2881,2890,3708.4
145A,2891,2900,3715.7
145A,2901,2910,3722.8
145A,2911,2920,3730.1
145A,2921,2930,3737.3
145A,2931,2940,3744.5
145A,2941,2950,3751.8
145A,2951,2960,3758.9
145A,2961,2970,3766.2
145A,2971,2980,3773.4
145A,2981,2990,3780.6
145A,2991,3000,3787.9
145A,3001,3010,3795
145A,3011,3020,3802.3
145A,3021,3030,3809.5
145A,3031,3040,3816.7
145A,3041,3050,3824
145A,3051,3060,3831.2
145A,3061,3070,3838.4
145A,3071,3080,3845.6
145A,3081,3090,3852.9
145A,3091,3100,3860.1
145A,3101,3110,3867.3
145A,3111,3120,3874.5
145A,3121,3130,3881.7
145A,3131,3140,3889
145A,3141,3150,3896.2
145A,3151,3160,3903.4
145A,3161,3170,3910.7
145A,3171,3180,3917.8
145A,3181,3190,3925.1
145A,3191,3200,3932.3
145A,3201,3210,3939.5
145A,3211,3220,3946.8
145A,3221,3230,3953.9
145A,3231,3240,3961.2
145A,3241,3250,3968.4
145A,3251,3260,3975.7
145A,3261,3270,3982.9
145A,3271,3280,3990
145A,3281,3290,3997.3
145A,3291,3300,4004.5
145A,3301,3310,4011.8
145A,3311,3320,4019
145A,3321,3330,4026.1
145A,3331,3340,4033.4
145A,3341,3350,4040.6
145A,3351,3360,4047.9
145A,3361,3370,4055.1
145A,3371,3380,4062.4
145A,3381,3390,4069.5
145A,3391,3400,4076.7
145A,3401,3410,4084
145A,3411,3420,4091.2
145A,3421,3430,4098.5
145A,3431,3440,4105.6
145A,3441,3450,4112.8
145A,3451,3460,4120.1
145A,3461,3470,4127.3
145A,3471,3480,4134.6
145A,3481,3490,4141.7
145A,3491,3500,4148.9